review_id,duration,spectral_centroid,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
11,3.24,1675.911252607251,0.11933210784313726,-312.44574,73.06335,7.447089,10.287109,-13.564213,2.5189166,-12.094468,-10.239322,-9.516096,-3.9387984,-4.170756,-9.274969,-0.03364036
12,2.808,1466.5413860491753,0.08647017045454546,-326.71094,83.49949,9.069537,10.933313,-17.874575,3.1527898,-10.596484,-13.650699,-7.158238,-7.717467,-4.6521716,-8.05449,-0.050278187
13,3.696,1659.9422522065731,0.11258250269396551,-332.17053,76.448654,1.6218498,9.9529295,-18.326542,5.353019,-10.742602,-8.060786,-9.117434,-5.5493236,-4.4195814,-8.13368,1.2347414
14,4.584,1867.336549394055,0.14555528428819445,-314.9022,63.541138,9.168218,15.712093,-11.522394,-0.4416741,-10.434566,-8.786168,-10.207831,-6.7780848,-7.3396707,-7.0162053,-0.030411933
15,4.584,2331.983000062368,0.197845458984375,-318.51138,50.464912,17.024162,9.913227,-11.096727,-3.188317,-7.4608383,-6.7538414,-11.797507,-6.7236805,-4.6006947,-2.9830127,1.1237055
16,10.704,1817.344845372125,0.13746501865671643,-322.14697,65.024475,7.226917,19.909452,-9.927708,-2.2558732,-12.111465,-6.399616,-12.556191,-7.6507463,-7.0308504,-8.153971,1.1833054
17,10.152,1770.337938026255,0.13757708087657233,-308.40393,69.796616,5.6549044,18.259392,-12.930151,0.64849794,-10.3283615,-9.149269,-10.639989,-7.643969,-7.8754363,-8.690337,-1.45503
18,10.296,1675.5427334948467,0.13019974039208074,-307.0731,76.22247,8.742706,15.10065,-9.815368,-1.6490748,-12.069909,-10.237266,-11.903391,-8.7923975,-7.8067117,-8.697836,-0.27550513
19,9.36,1702.261290672497,0.13058107135238908,-320.82654,72.30228,17.329145,14.669302,-8.025546,-2.1335645,-9.302579,-9.896435,-14.314873,-8.349181,-7.611115,-9.236468,0.5642533
20,12.288,1619.363007574473,0.12220474837662337,-323.47037,78.70021,6.149691,19.804272,-12.264356,-0.40027273,-12.998509,-8.871285,-12.6225395,-8.557076,-5.7100573,-8.232083,2.1074789
21,5.136,1727.392487652883,0.12017481075310558,-336.68298,63.925903,16.448355,14.457532,-8.445176,0.026737947,-8.150325,-9.765937,-11.936447,-5.915179,-6.155786,-7.9690557,-0.3543134
22,5.256,1839.3813408711383,0.14713245738636363,-306.9048,65.43783,14.419664,18.715855,-10.121197,-7.6644006,-6.955831,-9.747371,-14.729593,-8.488364,-5.710169,-7.3220487,-0.38619503
